rank,headword,cefr,freqRank,tier
220,"tub",B2,4996,core
221,"so-called",B2,5003,core
222,"ceiling",B2,5013,core
223,"somewhat",B2,5015,core
224,"therapist",B2,5033,core
225,"technical",B2,5053,core
226,"deer",B2,5064,core
227,"thrilled",B2,5073,core
228,"tomb",B2,5139,core
229,"spray",B2,5147,core
230,"concrete",B2,5159,core
231,"respected",B2,5179,core
232,"discipline",B2,5192,core
233,"reed",B2,5200,core
234,"privilege",B2,5204,core
235,"naive",C1,5207,core
236,"ranger",B2,5222,core
237,"hush",B2,5235,core
238,"originally",B2,5241,core
239,"sector",B2,5250,core
240,"laser",B2,5255,core
241,"lobby",B2,5275,core
242,"recipe",B2,5276,core
243,"missile",B2,5284,core
244,"tricky",B2,5286,core
245,"cellar",B2,5302,core
246,"rainbow",B2,5313,core
247,"mature",B2,5315,core
248,"pirate",B2,5320,core
249,"retirement",B2,5326,core
250,"mill",B2,5333,core
251,"copper",B2,5342,core
252,"enterprise",B2,5351,core
253,"mansion",B2,5364,core
254,"scheduled",B2,5373,core
255,"cocktail",B2,5379,core
256,"donkey",B2,5380,core
257,"reference",B2,5385,core
258,"wealthy",B2,5401,core
259,"dime",B2,5444,core
260,"hack",C1,5447,core
261,"rebel",B2,5457,core
262,"psychiatrist",C1,5472,core
263,"sister-in-law",B2,5490,core
264,"hilarious",B2,5492,core
265,"label",B2,5538,core
266,"ego",C1,5541,core
267,"worm",B2,5546,core
268,"publicity",B2,5547,core
269,"intimate",B2,5556,core
270,"exception",B2,5578,core
271,"lawn",B2,5599,core
272,"messenger",B2,5620,core
273,"versus",B2,5623,core
274,"ballet",B2,5681,core
275,"possessed",B2,5684,core
276,"withdraw",B2,5694,core
277,"corps",C1,5700,core
278,"hint",B2,5708,core
279,"proposed",B2,5739,core
280,"caring",B2,5741,core
281,"creek",B2,5748,core
282,"violet",C1,5770,core
283,"lighting",B2,5772,core
284,"savings",B2,5775,core
285,"educated",B2,5778,core
286,"racist",B2,5800,core
287,"terrifying",B2,5806,core
288,"draft",B2,5812,core
