order,id,target,partOfSpeech,cefr,effectiveBand,freqRank,isPhrase,score
0,minute:noun,"minute","noun",A1,0.00,387,,0.4874
1,ugly:adjective,"ugly","adjective",A1,0.00,1679,,0.6075
2,thin:adjective,"thin","adjective",A1,0.00,2734,,0.6473
3,headache:noun,"headache","noun",A1,0.00,3756,,0.6733
4,blank:adjective,"blank","adjective",A1,0.00,4992,,0.6966
5,cartoon:noun,"cartoon","noun",A1,0.00,8267,,0.7379
6,vase:noun,"vase","noun",A1,0.00,8498,,0.7401
7,pollution:noun,"pollution","noun",A1,0.00,11628,,0.7658
8,paragraph:noun,"paragraph","noun",A1,0.00,12117,,0.7691
9,foggy:adjective,"foggy","adjective",A1,0.00,15427,,0.7889
10,instead:adverb,"instead","adverb",A2,1.00,779,,1.5446
11,frank:adjective,"frank","adjective",A2,1.00,810,,1.5478
12,blame:verb,"blame","verb",A2,1.00,1159,,1.5771
13,grace:noun,"grace","noun",A2,1.00,1366,,1.5906
14,apologize:verb,"apologize","verb",A2,1.00,1419,,1.5937
15,account:noun,"account","noun",A2,1.00,1467,,1.5964
16,fantastic:adjective,"fantastic","adjective",A2,1.00,1530,,1.5999
17,screw:noun,"screw","noun",A2,1.00,1770,,1.6118
18,silence:noun,"silence","noun",A2,1.00,1808,,1.6135
19,thief:noun,"thief","noun",A2,1.00,1946,,1.6195
20,proper:adjective,"proper","adjective",A2,1.00,2020,,1.6226
21,pity:noun,"pity","noun",A2,1.00,2035,,1.6232
22,rob:verb,"rob","verb",A2,1.00,2216,,1.6302
23,illegal:adjective,"illegal","adjective",A2,1.00,2264,,1.6319
24,stairs:noun,"stairs","noun",A2,1.00,2463,,1.6388
25,kingdom:noun,"kingdom","noun",A2,1.00,2519,,1.6406
26,curse:verb,"curse","verb",A2,1.00,2552,,1.6417
27,hug:verb,"hug","verb",A2,1.00,2567,,1.6422
28,seek:verb,"seek","verb",A2,1.00,2583,,1.6427
29,robbery:noun,"robbery","noun",A2,1.00,2653,,1.6449
30,disappointed:adjective,"disappointed","adjective",A2,1.00,2673,,1.6455
31,slave:noun,"slave","noun",A2,1.00,2780,,1.6487
32,script:noun,"script","noun",A2,1.00,3070,,1.6568
33,bug:noun,"bug","noun",A2,1.00,3206,,1.6604
34,adventure:noun,"adventure","noun",A2,1.00,3336,,1.6636
35,bush:noun,"bush","noun",A2,1.00,3598,,1.6698
36,shell:noun,"shell","noun",A2,1.00,3658,,1.6712
37,fascinating:adjective,"fascinating","adjective",A2,1.00,3659,,1.6712
38,novel:adjective,"novel","adjective",A2,1.00,3761,,1.6734
39,soap:noun,"soap","noun",A2,1.00,3814,,1.6746
40,appropriate:adjective,"appropriate","adjective",A2,1.00,3933,,1.6771
41,awfully:adverb,"awfully","adverb",A2,1.00,3951,,1.6775
42,pill:noun,"pill","noun",A2,1.00,4043,,1.6793
43,drawer:noun,"drawer","noun",A2,1.00,4496,,1.6880
44,physically:adverb,"physically","adverb",A2,1.00,4539,,1.6888
45,disturbing:adjective,"disturbing","adjective",A2,1.00,4567,,1.6893
46,envelope:noun,"envelope","noun",A2,1.00,4805,,1.6935
47,perfume:noun,"perfume","noun",A2,1.00,4895,,1.6950
48,envy:noun,"envy","noun",A2,1.00,4929,,1.6956
49,forbid:verb,"forbid","verb",A2,1.00,4957,,1.6960
50,inspiration:noun,"inspiration","noun",A2,1.00,5069,,1.6978
51,fortunately:adverb,"fortunately","adverb",A2,1.00,5137,,1.6989
52,marvelous:adjective,"marvelous","adjective",A2,1.00,5170,,1.6995
53,breeze:noun,"breeze","noun",A2,1.00,5230,,1.7004
54,roast:verb,"roast","verb",A2,1.00,5355,,1.7023
55,dizzy:adjective,"dizzy","adjective",A2,1.00,5383,,1.7028
56,greedy:adjective,"greedy","adjective",A2,1.00,5698,,1.7074
57,ankle:noun,"ankle","noun",A2,1.00,5802,,1.7089
58,earthquake:noun,"earthquake","noun",A2,1.00,5861,,1.7097
59,pursue:verb,"pursue","verb",A2,1.00,5881,,1.7100
60,reunion:noun,"reunion","noun",A2,1.00,5912,,1.7104
61,orphan:noun,"orphan","noun",A2,1.00,5956,,1.7110
62,fiction:noun,"fiction","noun",A2,1.00,5991,,1.7115
63,opposed:adjective,"opposed","adjective",A2,1.00,6184,,1.7141
64,invention:noun,"invention","noun",A2,1.00,6222,,1.7146
65,encourage:verb,"encourage","verb",A2,1.00,6267,,1.7152
66,feature:noun-verb,"feature","noun/verb",A2,1.00,6389,,1.7168
67,wander:verb,"wander","verb",A2,1.00,6511,,1.7183
68,fare:noun,"fare","noun",A2,1.00,6782,,1.7217
69,countryside:noun,"countryside","noun",A2,1.00,6813,,1.7220
70,feather:noun,"feather","noun",A2,1.00,7008,,1.7243
71,predict:verb,"predict","verb",A2,1.00,7098,,1.7254
72,astronaut:noun,"astronaut","noun",A2,1.00,7189,,1.7264
73,tidy:adjective,"tidy","adjective",A2,1.00,7361,,1.7284
74,refrigerator:noun,"refrigerator","noun",A2,1.00,7421,,1.7290
75,aisle:noun,"aisle","noun",A2,1.00,7445,,1.7293
76,pronounce:verb,"pronounce","verb",A2,1.00,7545,,1.7304
77,container:noun,"container","noun",A2,1.00,7673,,1.7318
78,comb:noun,"comb","noun",A2,1.00,7723,,1.7323
79,weep:verb,"weep","verb",A2,1.00,7806,,1.7332
80,flour:noun,"flour","noun",A2,1.00,7864,,1.7338
81,sew:verb,"sew","verb",A2,1.00,8251,,1.7377
82,batch:noun,"batch","noun",A2,1.00,8292,,1.7381
83,impatient:adjective,"impatient","adjective",A2,1.00,8383,,1.7390
84,architecture:noun,"architecture","noun",A2,1.00,8464,,1.7398
85,gender:noun,"gender","noun",A2,1.00,9270,,1.7472
86,atom:noun,"atom","noun",A2,1.00,9344,,1.7479
87,scenery:noun,"scenery","noun",A2,1.00,9546,,1.7496
88,invade:verb,"invade","verb",A2,1.00,9670,,1.7507
89,annoy:verb,"annoy","verb",A2,1.00,10177,,1.7549
90,symphony:noun,"symphony","noun",A2,1.00,10686,,1.7589
91,crisp:adjective,"crisp","adjective",A2,1.00,10733,,1.7592
92,uncertain:adjective,"uncertain","adjective",A2,1.00,10976,,1.7610
93,concentrated:adjective,"concentrated","adjective",A2,1.00,11346,,1.7638
94,receptionist:noun,"receptionist","noun",A2,1.00,11617,,1.7657
95,endangered:adjective,"endangered","adjective",A2,1.00,11674,,1.7661
96,ancestor:noun,"ancestor","noun",A2,1.00,11755,,1.7667
97,composer:noun,"composer","noun",A2,1.00,12002,,1.7684
98,progressive:adjective,"progressive","adjective",A2,1.00,12340,,1.7706
99,advertisement:noun,"advertisement","noun",A2,1.00,12789,,1.7736
100,tram:noun,"tram","noun",A2,1.00,13247,,1.7764
101,pilgrim:noun,"pilgrim","noun",A2,1.00,13531,,1.7782
102,midday:noun,"midday","noun",A2,1.00,14018,,1.7811
103,prediction:noun,"prediction","noun",A2,1.00,14646,,1.7846
104,singular:adjective,"singular","adjective",A2,1.00,16464,,1.7942
105,lyric:noun,"lyric","noun",A2,1.00,18935,,1.8057
106,plural:adjective,"plural","adjective",A2,1.00,19768,,1.8092
107,injure:verb,"injure","verb",A2,1.00,20832,,1.8135
108,verb:noun,"verb","noun",A2,1.00,21020,,1.8142
109,roundabout:adjective,"roundabout","adjective",A2,1.00,21272,,1.8152
110,pollute:verb,"pollute","verb",A2,1.00,29360,,1.8415
111,adjective:noun,"adjective","noun",A2,1.00,31412,,1.8471
112,noun:noun,"noun","noun",A2,1.00,31679,,1.8478
113,haven:noun,"haven","noun",B1,2.00,305,,2.4679
114,weird:adjective,"weird","adjective",B1,2.00,724,,2.5387
115,forgive:verb,"forgive","verb",B1,2.00,775,,2.5442
116,buddy:noun,"buddy","noun",B1,2.00,823,,2.5491
117,detective:noun,"detective","noun",B1,2.00,905,,2.5569
118,prove:verb,"prove","verb",B1,2.00,987,,2.5640
119,arrest:verb,"arrest","verb",B1,2.00,1109,,2.5735
120,address:verb,"address","verb",B1,2.00,1141,,2.5759
121,applause:noun,"applause","noun",B1,2.00,1281,,2.5853
122,ridiculous:adjective,"ridiculous","adjective",B1,2.00,1336,,2.5888
123,horrible:adjective,"horrible","adjective",B1,2.00,1524,,2.5995
124,investigation:noun,"investigation","noun",B1,2.00,1534,,2.6001
125,incredible:adjective,"incredible","adjective",B1,2.00,1549,,2.6009
126,jealous:adjective,"jealous","adjective",B1,2.00,1607,,2.6039
127,lately:adverb,"lately","adverb",B1,2.00,1694,,2.6082
128,insane:adjective,"insane","adjective",B1,2.00,1771,,2.6118
129,hidden:adjective,"hidden","adjective",B1,2.00,1864,,2.6160
130,barely:adverb,"barely","adverb",B1,2.00,1876,,2.6165
131,murderer:noun,"murderer","noun",B1,2.00,1911,,2.6180
132,bless:verb,"bless","verb",B1,2.00,1960,,2.6201
133,complicated:adjective,"complicated","adjective",B1,2.00,1974,,2.6207
134,ashamed:adjective,"ashamed","adjective",B1,2.00,2037,,2.6233
135,per:preposition,"per","preposition",B1,2.00,2047,,2.6237
136,deliver:verb,"deliver","verb",B1,2.00,2066,,2.6244
137,committed:adjective,"committed","adjective",B1,2.00,2100,,2.6258
138,wound:noun,"wound","noun",B1,2.00,2129,,2.6269
139,disgusting:adjective,"disgusting","adjective",B1,2.00,2159,,2.6280
140,nasty:adjective,"nasty","adjective",B1,2.00,2478,,2.6393
141,despite:conjunction,"despite","conjunction",B1,2.00,2576,,2.6425
142,trash:noun,"trash","noun",B1,2.00,2586,,2.6428
143,debt:noun,"debt","noun",B1,2.00,2595,,2.6431
144,glory:noun,"glory","noun",B1,2.00,2623,,2.6440
145,border:noun,"border","noun",B1,2.00,2629,,2.6441
146,commit:verb,"commit","verb",B1,2.00,2659,,2.6451
147,disaster:noun,"disaster","noun",B1,2.00,2726,,2.6471
148,terrific:adjective,"terrific","adjective",B1,2.00,2735,,2.6474
149,urgent:adjective,"urgent","adjective",B1,2.00,2765,,2.6483
150,cruel:adjective,"cruel","adjective",B1,2.00,2784,,2.6488
151,bound:verb,"bound","verb",B1,2.00,2811,,2.6496
152,miserable:adjective,"miserable","adjective",B1,2.00,2886,,2.6518
153,recall:verb,"recall","verb",B1,2.00,2901,,2.6522
154,embarrassed:adjective,"embarrassed","adjective",B1,2.00,2909,,2.6524
155,terribly:adverb,"terribly","adverb",B1,2.00,2912,,2.6525
156,crush:verb,"crush","verb",B1,2.00,2994,,2.6548
157,launch:verb,"launch","verb",B1,2.00,3008,,2.6552
158,bond:noun,"bond","noun",B1,2.00,3063,,2.6566
159,sacred:adjective,"sacred","adjective",B1,2.00,3095,,2.6575
160,electricity:noun,"electricity","noun",B1,2.00,3117,,2.6581
161,purse:noun,"purse","noun",B1,2.00,3131,,2.6584
162,vice:noun,"vice","noun",B1,2.00,3157,,2.6591
163,religious:adjective,"religious","adjective",B1,2.00,3175,,2.6596
164,incredibly:adverb,"incredibly","adverb",B1,2.00,3200,,2.6602
165,cage:noun,"cage","noun",B1,2.00,3238,,2.6612
166,awkward:adjective,"awkward","adjective",B1,2.00,3242,,2.6613
167,warrior:noun,"warrior","noun",B1,2.00,3277,,2.6622
168,fetch:verb,"fetch","verb",B1,2.00,3280,,2.6622
169,guilt:noun,"guilt","noun",B1,2.00,3291,,2.6625
170,wrap:verb,"wrap","verb",B1,2.00,3309,,2.6630
171,bishop:noun,"bishop","noun",B1,2.00,3323,,2.6633
172,apology:noun,"apology","noun",B1,2.00,3340,,2.6637
173,loyal:adjective,"loyal","adjective",B1,2.00,3355,,2.6641
174,rotten:adjective,"rotten","adjective",B1,2.00,3366,,2.6644
175,ward:noun,"ward","noun",B1,2.00,3411,,2.6654
176,charm:noun,"charm","noun",B1,2.00,3518,,2.6680
177,farewell:noun,"farewell","noun",B1,2.00,3533,,2.6683
178,oxygen:noun,"oxygen","noun",B1,2.00,3560,,2.6689
179,chaos:noun,"chaos","noun",B1,2.00,3569,,2.6691
180,stubborn:adjective,"stubborn","adjective",B1,2.00,3573,,2.6692
181,invitation:noun,"invitation","noun",B1,2.00,3582,,2.6694
182,absolute:adjective,"absolute","adjective",B1,2.00,3588,,2.6696
183,instance:noun,"instance","noun",B1,2.00,3663,,2.6713
184,loyalty:noun,"loyalty","noun",B1,2.00,3678,,2.6716
185,liver:noun,"liver","noun",B1,2.00,3689,,2.6719
186,surgeon:noun,"surgeon","noun",B1,2.00,3692,,2.6719
187,rubbish:noun,"rubbish","noun",B1,2.00,3715,,2.6724
188,aid:noun,"aid","noun",B1,2.00,3773,,2.6737
189,divine:adjective,"divine","adjective",B1,2.00,3781,,2.6739
190,objection:noun,"objection","noun",B1,2.00,3787,,2.6740
191,eternal:adjective,"eternal","adjective",B1,2.00,3796,,2.6742
192,beard:noun,"beard","noun",B1,2.00,3849,,2.6753
193,maintain:verb,"maintain","verb",B1,2.00,3856,,2.6755
194,heal:verb,"heal","verb",B1,2.00,3886,,2.6761
195,assignment:noun,"assignment","noun",B1,2.00,3917,,2.6768
196,magnificent:adjective,"magnificent","adjective",B1,2.00,3956,,2.6776
197,deadly:adjective,"deadly","adjective",B1,2.00,3966,,2.6778
198,depressed:adjective,"depressed","adjective",B1,2.00,3969,,2.6778
199,burden:noun,"burden","noun",B1,2.00,4015,,2.6788
200,reception:noun,"reception","noun",B1,2.00,4032,,2.6791
201,abandon:verb,"abandon","verb",B1,2.00,4036,,2.6792
202,foundation:noun,"foundation","noun",B1,2.00,4065,,2.6798
203,rage:noun,"rage","noun",B1,2.00,4109,,2.6807
204,twist:noun-verb,"twist","noun/verb",B1,2.00,4115,,2.6808
205,delighted:adjective,"delighted","adjective",B1,2.00,4150,,2.6815
206,vast:adjective,"vast","adjective",B1,2.00,4157,,2.6816
207,fund:noun,"fund","noun",B1,2.00,4212,,2.6827
208,temper:noun,"temper","noun",B1,2.00,4229,,2.6830
209,tragic:adjective,"tragic","adjective",B1,2.00,4250,,2.6834
210,limited:adjective,"limited","adjective",B1,2.00,4264,,2.6837
211,permanent:adjective,"permanent","adjective",B1,2.00,4343,,2.6852
212,conflict:noun,"conflict","noun",B1,2.00,4433,,2.6869
213,radiation:noun,"radiation","noun",B1,2.00,4448,,2.6872
214,spoil:verb,"spoil","verb",B1,2.00,4459,,2.6874
215,severe:adjective,"severe","adjective",B1,2.00,4480,,2.6877
216,bureau:noun,"bureau","noun",B1,2.00,4495,,2.6880
217,nap:noun,"nap","noun",B1,2.00,4505,,2.6882
218,luggage:noun,"luggage","noun",B1,2.00,4518,,2.6884
219,groom:noun,"groom","noun",B1,2.00,4519,,2.6885
220,bump:noun,"bump","noun",B1,2.00,4593,,2.6898
221,vessel:noun,"vessel","noun",B1,2.00,4602,,2.6899
222,coffin:noun,"coffin","noun",B1,2.00,4615,,2.6902
223,puppy:noun,"puppy","noun",B1,2.00,4618,,2.6902
224,assistance:noun,"assistance","noun",B1,2.00,4640,,2.6906
225,adorable:adjective,"adorable","adjective",B1,2.00,4648,,2.6908
226,rely:verb,"rely","verb",B1,2.00,4670,,2.6911
227,theft:noun,"theft","noun",B1,2.00,4714,,2.6919
228,faithful:adjective,"faithful","adjective",B1,2.00,4721,,2.6920
229,bin:noun,"bin","noun",B1,2.00,4739,,2.6923
230,era:noun,"era","noun",B1,2.00,4751,,2.6925
231,swell:verb,"swell","verb",B1,2.00,4755,,2.6926
232,feast:noun,"feast","noun",B1,2.00,4757,,2.6927
233,sorrow:noun,"sorrow","noun",B1,2.00,4790,,2.6932
234,fuss:noun,"fuss","noun",B1,2.00,4804,,2.6935
235,ladder:noun,"ladder","noun",B1,2.00,4833,,2.6939
236,barrel:noun,"barrel","noun",B1,2.00,4858,,2.6944
237,dull:adjective,"dull","adjective",B1,2.00,4874,,2.6946
238,tension:noun,"tension","noun",B1,2.00,4917,,2.6954
239,bold:adjective,"bold","adjective",B1,2.00,4922,,2.6954
240,faint:adjective,"faint","adjective",B1,2.00,4949,,2.6959
241,bleed:verb,"bleed","verb",B1,2.00,4953,,2.6960
242,glorious:adjective,"glorious","adjective",B1,2.00,4981,,2.6964
243,hatred:noun,"hatred","noun",B1,2.00,4983,,2.6964
244,principle:noun,"principle","noun",B1,2.00,5031,,2.6972
245,compliment:noun,"compliment","noun",B1,2.00,5035,,2.6973
246,vain:adjective,"vain","adjective",B1,2.00,5061,,2.6977
247,destination:noun,"destination","noun",B1,2.00,5078,,2.6980
248,butcher:noun,"butcher","noun",B1,2.00,5105,,2.6984
249,organ:noun,"organ","noun",B1,2.00,5124,,2.6987
250,outer:adjective,"outer","adjective",B1,2.00,5127,,2.6988
251,genetic:adjective,"genetic","adjective",B1,2.00,5167,,2.6994
252,invasion:noun,"invasion","noun",B1,2.00,5188,,2.6997
253,anyhow:adverb,"anyhow","adverb",B1,2.00,5205,,2.7000
254,wrist:noun,"wrist","noun",B1,2.00,5240,,2.7006
255,thumb:noun,"thumb","noun",B1,2.00,5262,,2.7009
256,bald:adjective,"bald","adjective",B1,2.00,5263,,2.7009
257,suspicion:noun,"suspicion","noun",B1,2.00,5265,,2.7010
258,associate:verb,"associate","verb",B1,2.00,5308,,2.7016
259,negotiate:verb,"negotiate","verb",B1,2.00,5374,,2.7026
260,legally:adverb,"legally","adverb",B1,2.00,5439,,2.7036
261,chuckle:noun,"chuckle","noun",B1,2.00,5446,,2.7037
262,bore:verb,"bore","verb",B1,2.00,5450,,2.7038
263,fortunate:adjective,"fortunate","adjective",B1,2.00,5460,,2.7039
264,orbit:noun,"orbit","noun",B1,2.00,5464,,2.7040
265,sympathy:noun,"sympathy","noun",B1,2.00,5469,,2.7041
266,accompany:verb,"accompany","verb",B1,2.00,5479,,2.7042
267,exclusive:adjective,"exclusive","adjective",B1,2.00,5496,,2.7045
268,dialogue:noun,"dialogue","noun",B1,2.00,5549,,2.7053
269,repay:verb,"repay","verb",B1,2.00,5573,,2.7056
270,gratitude:noun,"gratitude","noun",B1,2.00,5576,,2.7056
271,essential:adjective,"essential","adjective",B1,2.00,5588,,2.7058
272,capacity:noun,"capacity","noun",B1,2.00,5607,,2.7061
273,forehead:noun,"forehead","noun",B1,2.00,5699,,2.7074
274,flu:noun,"flu","noun",B1,2.00,5706,,2.7075
275,leap:verb,"leap","verb",B1,2.00,5732,,2.7079
276,approximately:adverb,"approximately","adverb",B1,2.00,5743,,2.7081
277,bounce:verb,"bounce","verb",B1,2.00,5747,,2.7081
278,mutual:adjective,"mutual","adjective",B1,2.00,5771,,2.7085
279,offensive:adjective,"offensive","adjective",B1,2.00,5782,,2.7086
280,eliminate:verb,"eliminate","verb",B1,2.00,5834,,2.7093
281,messy:adjective,"messy","adjective",B1,2.00,5849,,2.7096
282,spectacular:adjective,"spectacular","adjective",B1,2.00,5866,,2.7098
283,hesitate:verb,"hesitate","verb",B1,2.00,5981,,2.7114
284,hatch:verb,"hatch","verb",B1,2.00,5982,,2.7114
285,fold:verb,"fold","verb",B1,2.00,6020,,2.7119
286,scholarship:noun,"scholarship","noun",B1,2.00,6037,,2.7121
287,landlord:noun,"landlord","noun",B1,2.00,6057,,2.7124
288,despair:noun,"despair","noun",B1,2.00,6069,,2.7126
289,shiny:adjective,"shiny","adjective",B1,2.00,6071,,2.7126
290,conquer:verb,"conquer","verb",B1,2.00,6094,,2.7129
291,prescription:noun,"prescription","noun",B1,2.00,6124,,2.7133
292,accuse:verb,"accuse","verb",B1,2.00,6166,,2.7139
293,herd:noun,"herd","noun",B1,2.00,6217,,2.7145
294,embarrass:verb,"embarrass","verb",B1,2.00,6261,,2.7151
295,expense:noun,"expense","noun",B1,2.00,6275,,2.7153
296,organic:adjective,"organic","adjective",B1,2.00,6293,,2.7155
297,seize:verb,"seize","verb",B1,2.00,6294,,2.7156
298,fountain:noun,"fountain","noun",B1,2.00,6300,,2.7156
299,observation:noun,"observation","noun",B1,2.00,6301,,2.7156
300,delightful:adjective,"delightful","adjective",B1,2.00,6392,,2.7168
301,accountant:noun,"accountant","noun",B1,2.00,6403,,2.7170
302,canal:noun,"canal","noun",B1,2.00,6494,,2.7181
303,ambitious:adjective,"ambitious","adjective",B1,2.00,6497,,2.7182
304,inevitable:adjective,"inevitable","adjective",B1,2.00,6505,,2.7183
305,triumph:noun,"triumph","noun",B1,2.00,6547,,2.7188
306,frequency:noun,"frequency","noun",B1,2.00,6549,,2.7188
307,protective:adjective,"protective","adjective",B1,2.00,6580,,2.7192
308,breed:verb,"breed","verb",B1,2.00,6585,,2.7193
309,architect:noun,"architect","noun",B1,2.00,6595,,2.7194
310,outstanding:adjective,"outstanding","adjective",B1,2.00,6627,,2.7198
311,essence:noun,"essence","noun",B1,2.00,6628,,2.7198
312,surrounding:noun,"surrounding","noun",B1,2.00,6648,,2.7200
313,participate:verb,"participate","verb",B1,2.00,6660,,2.7202
314,razor:noun,"razor","noun",B1,2.00,6672,,2.7203
315,stir:verb,"stir","verb",B1,2.00,6708,,2.7208
316,inspection:noun,"inspection","noun",B1,2.00,6718,,2.7209
317,choke:verb,"choke","verb",B1,2.00,6735,,2.7211
318,documentary:adjective,"documentary","adjective",B1,2.00,6746,,2.7212
319,resolve:verb,"resolve","verb",B1,2.00,6778,,2.7216
320,registration:noun,"registration","noun",B1,2.00,6852,,2.7225
321,volcano:noun,"volcano","noun",B1,2.00,6863,,2.7226
322,supposedly:adverb,"supposedly","adverb",B1,2.00,6888,,2.7229
323,syndrome:noun,"syndrome","noun",B1,2.00,6897,,2.7230
324,notion:noun,"notion","noun",B1,2.00,6946,,2.7236
325,departure:noun,"departure","noun",B1,2.00,6969,,2.7239
326,shallow:adjective,"shallow","adjective",B1,2.00,6999,,2.7242
327,horizon:noun,"horizon","noun",B1,2.00,7030,,2.7246
328,disappointment:noun,"disappointment","noun",B1,2.00,7040,,2.7247
329,deadline:noun,"deadline","noun",B1,2.00,7055,,2.7249
330,acknowledge:verb,"acknowledge","verb",B1,2.00,7116,,2.7256
331,submarine:noun,"submarine","noun",B1,2.00,7171,,2.7262
332,definition:noun,"definition","noun",B1,2.00,7212,,2.7267
333,expand:verb,"expand","verb",B1,2.00,7264,,2.7273
334,sticky:adjective,"sticky","adjective",B1,2.00,7296,,2.7276
335,primitive:adjective,"primitive","adjective",B1,2.00,7299,,2.7277
336,peculiar:adjective,"peculiar","adjective",B1,2.00,7307,,2.7278
337,thorough:adjective,"thorough","adjective",B1,2.00,7357,,2.7283
338,confirmation:noun,"confirmation","noun",B1,2.00,7383,,2.7286
339,comet:noun,"comet","noun",B1,2.00,7392,,2.7287
340,sufficient:adjective,"sufficient","adjective",B1,2.00,7399,,2.7288
341,warmth:noun,"warmth","noun",B1,2.00,7406,,2.7289
342,sheer:adjective,"sheer","adjective",B1,2.00,7483,,2.7297
343,employment:noun,"employment","noun",B1,2.00,7516,,2.7301
344,unite:verb,"unite","verb",B1,2.00,7520,,2.7301
345,ape:noun,"ape","noun",B1,2.00,7548,,2.7304
346,camel:noun,"camel","noun",B1,2.00,7566,,2.7306
347,acquaintance:noun,"acquaintance","noun",B1,2.00,7667,,2.7317
348,separation:noun,"separation","noun",B1,2.00,7713,,2.7322
349,rational:adjective,"rational","adjective",B1,2.00,7763,,2.7327
350,biology:noun,"biology","noun",B1,2.00,7866,,2.7338
351,dusty:adjective,"dusty","adjective",B1,2.00,7867,,2.7338
352,summit:noun,"summit","noun",B1,2.00,7892,,2.7341
353,disabled:adjective,"disabled","adjective",B1,2.00,7925,,2.7344
354,baggage:noun,"baggage","noun",B1,2.00,7958,,2.7347
355,undo:verb,"undo","verb",B1,2.00,7993,,2.7351
356,blend:verb,"blend","verb",B1,2.00,8022,,2.7354
357,dynasty:noun,"dynasty","noun",B1,2.00,8026,,2.7354
358,partial:adjective,"partial","adjective",B1,2.00,8065,,2.7358
359,neutral:adjective,"neutral","adjective",B1,2.00,8081,,2.7360
360,slavery:noun,"slavery","noun",B1,2.00,8133,,2.7365
361,rebuild:verb,"rebuild","verb",B1,2.00,8147,,2.7367
362,debris:noun,"debris","noun",B1,2.00,8165,,2.7368
363,daring:adjective,"daring","adjective",B1,2.00,8255,,2.7377
364,marble:noun,"marble","noun",B1,2.00,8272,,2.7379
365,flock:noun,"flock","noun",B1,2.00,8331,,2.7385
366,glimpse:noun,"glimpse","noun",B1,2.00,8334,,2.7385
367,kettle:noun,"kettle","noun",B1,2.00,8337,,2.7386
368,currency:noun,"currency","noun",B1,2.00,8343,,2.7386
369,souvenir:noun,"souvenir","noun",B1,2.00,8361,,2.7388
370,apparent:adjective,"apparent","adjective",B1,2.00,8426,,2.7394
371,glance:noun-verb,"glance","noun/verb",B1,2.00,8499,,2.7401
372,appreciation:noun,"appreciation","noun",B1,2.00,8516,,2.7403
373,promote:verb,"promote","verb",B1,2.00,8520,,2.7403
374,accounting:noun,"accounting","noun",B1,2.00,8576,,2.7409
375,embarrassment:noun,"embarrassment","noun",B1,2.00,8585,,2.7409
376,freshman:noun,"freshman","noun",B1,2.00,8644,,2.7415
377,admission:noun,"admission","noun",B1,2.00,8667,,2.7417
378,pharmacy:noun,"pharmacy","noun",B1,2.00,8679,,2.7418
379,breakthrough:noun,"breakthrough","noun",B1,2.00,8716,,2.7422
380,vague:adjective,"vague","adjective",B1,2.00,8756,,2.7426
381,ripe:adjective,"ripe","adjective",B1,2.00,8766,,2.7427
382,decline:noun,"decline","noun",B1,2.00,8772,,2.7427
383,notorious:adjective,"notorious","adjective",B1,2.00,8872,,2.7436
384,briefly:adverb,"briefly","adverb",B1,2.00,8914,,2.7440
385,cherish:verb,"cherish","verb",B1,2.00,8953,,2.7444
386,publisher:noun,"publisher","noun",B1,2.00,8993,,2.7447
387,severely:adverb,"severely","adverb",B1,2.00,9028,,2.7451
388,devastating:adjective,"devastating","adjective",B1,2.00,9039,,2.7452
389,isolation:noun,"isolation","noun",B1,2.00,9079,,2.7455
390,courageous:adjective,"courageous","adjective",B1,2.00,9151,,2.7462
391,determination:noun,"determination","noun",B1,2.00,9152,,2.7462
392,fright:noun,"fright","noun",B1,2.00,9223,,2.7468
393,obstacle:noun,"obstacle","noun",B1,2.00,9245,,2.7470
394,regain:verb,"regain","verb",B1,2.00,9267,,2.7472
395,shameful:adjective,"shameful","adjective",B1,2.00,9326,,2.7477
396,strategic:adjective,"strategic","adjective",B1,2.00,9328,,2.7477
397,disturbance:noun,"disturbance","noun",B1,2.00,9426,,2.7486
398,sculpture:noun,"sculpture","noun",B1,2.00,9440,,2.7487
399,stem:noun,"stem","noun",B1,2.00,9480,,2.7491
400,sidewalk:noun,"sidewalk","noun",B1,2.00,9538,,2.7496
401,depart:verb,"depart","verb",B1,2.00,9664,,2.7506
402,monument:noun,"monument","noun",B1,2.00,9665,,2.7506
403,transformation:noun,"transformation","noun",B1,2.00,9685,,2.7508
404,limp:verb,"limp","verb",B1,2.00,9707,,2.7510
405,hazard:noun,"hazard","noun",B1,2.00,9743,,2.7513
406,frustration:noun,"frustration","noun",B1,2.00,9748,,2.7513
407,trim:verb,"trim","verb",B1,2.00,9790,,2.7517
408,declaration:noun,"declaration","noun",B1,2.00,9794,,2.7517
409,substantial:adjective,"substantial","adjective",B1,2.00,9818,,2.7519
410,ache:noun,"ache","noun",B1,2.00,9830,,2.7520
411,emerge:verb,"emerge","verb",B1,2.00,9832,,2.7520
412,occasional:adjective,"occasional","adjective",B1,2.00,9951,,2.7530
413,mend:verb,"mend","verb",B1,2.00,9961,,2.7531
414,athletic:adjective,"athletic","adjective",B1,2.00,9983,,2.7533
415,worthwhile:adjective,"worthwhile","adjective",B1,2.00,9997,,2.7534
416,remedy:noun,"remedy","noun",B1,2.00,10047,,2.7538
417,damp:adjective,"damp","adjective",B1,2.00,10048,,2.7538
418,vein:noun,"vein","noun",B1,2.00,10065,,2.7540
419,steep:adjective,"steep","adjective",B1,2.00,10069,,2.7540
420,convey:verb,"convey","verb",B1,2.00,10116,,2.7544
